x,S,I,R,D
37.97979797979798,0.011142124979207722,0.3931349741238287,0.5620027366952485,0.0337201642017149
38.78787878787879,0.009836777397545782,0.37793018353447,0.5775783387433812,0.03465470032460286
39.5959595959596,0.008726516999821805,0.3631720006464804,0.5925485682582052,0.035552914095492306
40.4040404040404,0.007778011060931909,0.34887430642421613,0.6069317759574073,0.036415906557444436
41.21212121212121,0.006964187792502102,0.335044276130804,0.6207467321478243,0.037244803928869454
42.02020202020202,0.0062629775607310175,0.3216838914366992,0.6340123877382733,0.038040743264296385
42.82828282828283,0.005656318906656816,0.3087911304619019,0.6467476892749445,0.03880486135649665
43.63636363636363,0.005129372881425058,0.29636090404434456,0.6589714368624814,0.03953828621174886
44.44444444444444,0.0046698998626521935,0.28438579397340225,0.6707021756263636,0.04024213053758179
45.25252525252525,0.0042677647463382545,0.2728566345382185,0.6819581138824935,0.04091748683294959
46.06060606060606,0.003914543372683361,0.2617629705493653,0.6927570623376899,0.04156542374026137
46.868686868686865,0.003603206467546158,0.25109342070298696,0.7031163894617611,0.04218698336770564
47.676767676767675,0.003327866445878194,0.24083596408218794,0.7130529900678622,0.0427831794040717
48.484848484848484,0.003083573827517003,0.2309781660570951,0.7225832642597999,0.04335499585558796
49.292929292929294,0.0028661533913535184,0.2215073557624797,0.7317231045718554,0.04390338627431129
50.1010101010101,0.0026720689008967926,0.21241076874718312,0.7404878890112453,0.04442927334067469
50.90909090909091,0.0024983153572865828,0.20367565611506516,0.7488924797430644,0.04493354878458383
51.717171717171716,0.002342331656547859,0.19528936895864843,0.7569512258347205,0.045417073550083197
52.525252525252526,0.0022019278414500063,0.1872394254124664,0.7646779686283808,0.04588067811770281
53.333333333333336,0.0020752232197292025,0.17951356471930044,0.7720860491141228,0.04632516294684735
54.14141414141414,0.001960600473404421,0.17209978218131883,0.7791883182502609,0.04675129909501564
54.94949494949495,0.001856661981523202,0.16498636179668483,0.7859971473790489,0.04715982884274291
55.75757575757576,0.0017621981774002212,0.15816189444916567,0.792524440918334,0.04755146645510001
56.56565656565657,0.0016761583155986874,0.15161529404958943,0.7987816487120866,0.04792689892272517
57.37373737373737,0.0015976271030041214,0.1453358069131864,0.8047797792300089,0.048286786753800506
58.18181818181818,0.0015258055276122077,0.13931301628035275,0.8105294133887122,0.04863176480332271
58.98989898989899,0.00145999363907165,0.13353684524588388,0.8160407180330607,0.048962443081983616
59.7979797979798,0.0013995772218682544,0.127997555449031,0.8213234597444344,0.04927940758466604
60.6060606060606,0.0013440158284985031,0.12268574458552589,0.8263870184773353,0.049583221108640094
61.41414141414141,0.0012928322604470472,0.11759234277320962,0.8312404009116444,0.04987442405469864
62.22222222222222,0.0012456041428776212,0.1127086068374995,0.8358922537920968,0.05015353522752579
63.03030303030303,0.0012019580142388242,0.10802611201017186,0.8403508773354613,0.05042105264012766
63.838383838383834,0.0011615611759250358,0.10353674708882829,0.8446242374860815,0.050677454249164866
64.64646464646465,0.00112411809491076,0.09923270436143787,0.8487199788147651,0.05092319872888589
65.45454545454545,0.001089365122743877,0.09510647227554711,0.8526454364167063,0.05115872618500236
66.26262626262626,0.001057066007447182,0.09115082750059585,0.8564076476339214,0.05138445885803527
67.07070707070707,0.0010270096837437812,0.08735882483130145,0.8600133636650513,0.05160080181990307
67.87878787878788,0.000999006111805383,0.08372378971003447,0.8634690605454337,0.05180814363272602
68.68686868686869,0.0009728848453562908,0.08023930817230521,0.8667809499833379,0.05200685699900026
69.4949494949495,0.0009484919419581571,0.07689921904547788,0.869954989634494,0.05219729937806963
70.3030303030303,0.0009256887135931104,0.07369760451313942,0.8729968931823275,0.052379813590939635
71.11111111111111,0.0009043495580311809,0.07062878205351675,0.8759121399891054,0.052554728399346315
71.91919191919192,0.0008843608075677765,0.06768729571585075,0.878705984411869,0.05272235906471213
72.72727272727272,0.0008656189128578398,0.06486790831414992,0.881383464880181,0.05288300789281085
73.53535353535354,0.0008480300495309275,0.06216559275790456,0.8839494124458153,0.0530369647467489
74.34343434343434,0.0008315096488044219,0.05957552376931928,0.8864084590395057,0.053184507542370314
75.15151515151516,0.0008159801041705101,0.05709307143089142,0.8887650457216394,0.05332590274329834
75.95959595959596,0.0008013694991954469,0.05471379421101115,0.891023430462069,0.053461405827724115
76.76767676767676,0.0007876132326823963,0.052433429924880946,0.8931876951343739,0.053591261708062415
77.57575757575758,0.0007746524915004092,0.05024788950759261,0.895261752831044,0.053715705169862626
78.38383838383838,0.000762432015252483,0.048153251332482,0.8972493553323257,0.05383496131993952
79.1919191919192,0.0007509017347205395,0.04614575343788157,0.8991540988937714,0.05394924593362626
80.0,0.0007400160691754005,0.044221787452444344,0.9009794306399812,0.054058765838398845
